theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
25.9,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
25.92,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
25.94,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
25.96,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
25.98,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.02,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.04,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.06,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.08,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.1,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.12,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.14,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.16,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.18,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.2,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.22,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.24,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.26,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.28,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.3,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.32,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.34,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.36,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.38,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.4,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.42,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.44,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.46,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.48,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.5,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.52,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.54,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.56,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.58,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.6,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.62,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.64,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.66,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.68,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.7,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.72,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.74,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.76,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.78,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.8,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.82,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.84,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.86,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.88,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.9,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.92,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.94,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.96,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
26.98,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.02,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.04,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.06,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.08,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.1,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.12,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.14,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.16,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.18,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.2,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.22,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.24,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.26,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.28,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.3,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.32,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.34,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
27.36,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(7.6, -5.0, -8.1),(0.0, 0.0, 0.0)
