theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
411.72,0,10,-58.7,0.09402753,-0.2213503,0.295433,1.610845,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.74,0,10,-58.7,0.09387506,-0.221688,0.2973244,1.610845,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.76,0,10,-58.7,0.08533596,-0.2273521,0.3238685,1.615852,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.78,0,10,-58.7,0.08429942,-0.2271653,0.3241248,1.616159,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.8,0,10,-58.7,0.06596503,-0.2267343,0.3297504,1.610736,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.82,0,10,-58.7,0.06596503,-0.2267343,0.3297504,1.608742,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.84,0,10,-58.7,0.0484019,-0.2261483,0.3179701,1.617594,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.86,0,10,-58.7,0.0470669,-0.2259948,0.3173542,1.617594,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.88,0,10,-58.7,0.02218423,-0.2164267,0.300211,1.612225,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.9,0,10,-58.7,0.02144837,-0.2155035,0.2993863,1.614254,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.92,0,10,-58.7,0.01465974,-0.2073198,0.2952726,1.609964,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.94,0,10,-58.7,0.01465974,-0.2073198,0.2952726,1.611009,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.96,0,10,-58.7,0.03320461,-0.1807635,0.2815463,1.612164,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
411.98,0,10,-58.7,0.03359529,-0.1794184,0.2817375,1.608796,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412,0,10,-58.7,0.03359529,-0.1794184,0.2817375,1.608796,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.02,0,10,-58.7,0.04470425,-0.1644588,0.2676064,1.609534,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.04,0,10,-58.7,0.04470425,-0.1644588,0.2676064,1.609534,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.06,0,10,-58.7,0.06189982,-0.14883,0.2416897,1.613318,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.08,0,10,-58.7,0.07161304,-0.1284302,0.2168448,1.613714,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.1,0,10,-58.7,0.07161304,-0.1284302,0.2168448,1.613714,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.12,0,10,-58.7,0.07868198,-0.1051836,0.1804318,1.613981,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.14,0,10,-58.7,0.07868198,-0.1051836,0.1804318,1.613981,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.16,0,10,-58.7,0.08936791,-0.06838726,0.09664153,1.612123,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.18,0,10,-58.7,0.08936791,-0.06838726,0.09664153,1.612123,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.2,0,10,-58.7,0.08195844,-0.04129372,0.03449846,1.610449,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.22,0,10,-58.7,0.08195844,-0.04129372,0.03449846,1.610449,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.24,0,10,-58.7,0.08202514,-0.01524175,-0.02732247,1.612191,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.26,0,10,-58.7,0.08202514,-0.01524175,-0.02732247,1.615989,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.28,0,10,-58.7,0.07727061,0.004160435,-0.0738774,1.606945,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.3,0,10,-58.7,0.07246074,0.02412714,-0.1192746,1.615736,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.32,0,10,-58.7,0.07257687,0.02534601,-0.1223794,1.615736,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.34,0,10,-58.7,0.08432534,0.03649925,-0.159111,1.617355,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.36,0,10,-58.7,0.08432534,0.03649925,-0.159111,1.617355,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.38,0,10,-58.7,0.0967941,0.05139043,-0.1994772,1.610907,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.4,0,10,-58.7,0.09747592,0.05196707,-0.2013112,1.615374,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.42,0,10,-58.7,0.1113125,0.05915757,-0.2209996,1.617423,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.44,0,10,-58.7,0.1135858,0.05981831,-0.2225033,1.613086,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.46,0,10,-58.7,0.1223542,0.0606862,-0.2307396,1.60534,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.48,0,10,-58.7,0.1301459,0.06883924,-0.2328796,1.611522,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.5,0,10,-58.7,0.1301459,0.06883924,-0.2328796,1.611522,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.52,0,10,-58.7,0.1427759,0.06851824,-0.232001,1.612396,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.54,0,10,-58.7,0.1439326,0.06772583,-0.2322976,1.610408,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.56,0,10,-58.7,0.1607784,0.06244231,-0.2352303,1.618284,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.58,0,10,-58.7,0.170323,0.06384508,-0.2286049,1.612341,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.6,0,10,-58.7,0.170323,0.06384508,-0.2286049,1.614288,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.62,0,10,-58.7,0.170323,0.06384508,-0.2286049,1.614288,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.64,0,10,-58.7,0.1751259,0.05328589,-0.2370414,1.610429,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.66,0,10,-58.7,0.1751259,0.05328589,-0.2370414,1.610429,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.68,0,10,-58.7,0.1593548,0.04866858,-0.2539823,1.614158,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.7,0,10,-58.7,0.1358954,0.04049082,-0.2594455,1.611979,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.72,0,10,-58.7,0.1358954,0.04049082,-0.2594455,1.611979,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.74,0,10,-58.7,0.1242003,0.03229474,-0.264411,1.613168,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.76,0,10,-58.7,0.1242003,0.03229474,-0.264411,1.613168,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.78,0,10,-58.7,0.1140089,0.03013372,-0.2584915,1.610688,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.8,0,10,-58.7,0.1080902,0.0328895,-0.2296247,1.605327,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.82,0,10,-58.7,0.1082357,0.03309115,-0.2285728,1.605327,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.84,0,10,-58.7,0.1082357,0.03309115,-0.2285728,1.609671,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.86,0,10,-58.7,0.1082357,0.03309115,-0.2285728,1.609671,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.88,0,10,-58.7,0.1081908,0.03762778,-0.2127861,1.614008,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.9,0,10,-58.7,0.10631,0.04084595,-0.1895704,1.614226,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.92,0,10,-58.7,0.1061636,0.04069458,-0.1881438,1.612191,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.94,0,10,-58.7,0.1076775,0.04122529,-0.178966,1.611774,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.96,0,10,-58.7,0.1076775,0.04122529,-0.178966,1.611774,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
412.98,0,10,-58.7,0.1037057,0.04192472,-0.1751279,1.610907,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413,0,10,-58.7,0.1008333,0.0529949,-0.1781776,1.611672,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.02,0,10,-58.7,0.1008333,0.0529949,-0.1781776,1.611672,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.04,0,10,-58.7,0.1007449,0.05364893,-0.1778292,1.611672,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.06,0,10,-58.7,0.09400735,0.05883284,-0.1910235,1.611344,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.08,0,10,-58.7,0.08152151,0.06060667,-0.2113338,1.613393,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.1,0,10,-58.7,0.08152151,0.06060667,-0.2113338,1.613393,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.12,0,10,-58.7,0.06854434,0.05405353,-0.2377714,1.611535,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.14,0,10,-58.7,0.06768487,0.05332849,-0.2396758,1.611535,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.16,0,10,-58.7,0.05534403,0.04271184,-0.2631726,1.605518,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.18,0,10,-58.7,0.04947787,0.03159697,-0.2774518,1.610743,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.2,0,10,-58.7,0.04947787,0.03159697,-0.2774518,1.610743,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.22,0,10,-58.7,0.05586831,0.01998034,-0.274986,1.607471,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.24,0,10,-58.7,0.05586831,0.01998034,-0.274986,1.607471,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.26,0,10,-58.7,0.05586831,0.01998034,-0.274986,1.607471,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.28,0,10,-58.7,0.06550774,0.02012634,-0.263699,1.606768,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.3,0,10,-58.7,0.08327603,0.02468962,-0.2485997,1.614588,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.32,0,10,-58.7,0.08327603,0.02468962,-0.2485997,1.614588,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.34,0,10,-58.7,0.09802461,0.03053244,-0.2277494,1.608796,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.36,0,10,-58.7,0.09914905,0.03118641,-0.2259986,1.61006,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.38,0,10,-58.7,0.1120316,0.04016801,-0.2138467,1.609876,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.4,0,10,-58.7,0.1189374,0.04881519,-0.2052296,1.614267,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.42,0,10,-58.7,0.1192942,0.04911973,-0.2048131,1.614267,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.44,0,10,-58.7,0.1314656,0.05471852,-0.1938524,1.610162,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.46,0,10,-58.7,0.1314656,0.05471852,-0.1938524,1.610162,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.48,0,10,-58.7,0.136607,0.05318165,-0.2002168,1.61243,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.5,0,10,-58.7,0.136607,0.05318165,-0.2002168,1.61243,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.52,0,10,-58.7,0.1235341,0.04809432,-0.2153285,1.610716,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.54,0,10,-58.7,0.1235341,0.04809432,-0.2153285,1.610716,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.56,0,10,-58.7,0.107419,0.03173784,-0.2400387,1.612396,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.58,0,10,-58.7,0.08051945,0.0188042,-0.2580479,1.610203,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.6,0,10,-58.7,0.08051945,0.0188042,-0.2580479,1.6095,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.62,0,10,-58.7,0.0492906,0.011325,-0.2629384,1.614602,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.64,0,10,-58.7,0.0492906,0.011325,-0.2629384,1.614602,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.66,0,10,-58.7,0.03043257,-0.006621874,-0.2491328,1.610429,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.68,0,10,-58.7,0.03043257,-0.006621874,-0.2491328,1.610429,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.7,0,10,-58.7,0.01543912,-0.003536685,-0.222143,1.611494,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.72,0,10,-58.7,0.01543912,-0.003536685,-0.222143,1.609295,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.74,0,10,-58.7,0.01382359,0.005099525,-0.1829038,1.611433,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.76,0,10,-58.7,0.01382359,0.005099525,-0.1829038,1.611433,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.78,0,10,-58.7,0.01814437,0.01565943,-0.1368537,1.606911,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
413.8,0,10,-58.7,0.01161496,0.02634599,-0.09255915,1.610224,0,1,1,6,0,0,(-18.9, -5.0, 1.9),(-19.8, -7.5, 3.0)
