theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
29.04,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.06,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.08,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.1,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.12,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.14,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.16,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.18,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.2,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.22,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.24,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.26,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.28,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.3,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.32,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.34,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.36,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.38,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.4,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.42,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.44,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.46,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.48,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.5,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.52,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.54,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.56,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.58,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.6,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.62,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.64,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
29.66,0,10,-58.7,0,0,0,270,0,0,1,0,0,0,(14.0, -5.0, -9.5),(0.0, 0.0, 0.0)
