theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
13.46,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.48,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.5,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.52,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.54,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.56,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.58,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.6,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.62,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.64,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.66,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.68,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.7,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
13.72,0,10,-58.7,0,0,0,90,180,0,1,0,0,0,(16.5, -5.0, 7.6),(0.0, 0.0, 0.0)
