theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
46.62,0,10,-58.7,-0.001154236,0.0003044941,5.104812E-05,14.04713,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.64,0,10,-58.7,-0.001144879,0.0003034594,-9.629567E-05,14.04713,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.66,0,10,-58.7,-0.0007290146,0.000553069,0.001628094,14.04411,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.68,0,10,-58.7,-0.0006632418,0.0004902611,0.001830967,14.04302,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.7,0,10,-58.7,-0.0002644812,0.0004113442,0.001034633,14.04252,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.72,0,10,-58.7,0.0007650267,-0.0007871774,-0.001365093,14.0407,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.74,0,10,-58.7,0.0007650267,-0.0007871774,-0.001365093,14.0407,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.76,0,10,-58.7,0.0007862777,-0.0009405224,-0.001555326,14.04321,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.78,0,10,-58.7,0.0007862777,-0.0009405224,-0.001555326,14.04321,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.8,0,10,-58.7,0.0005176792,-4.298455E-05,-0.0009712892,14.04311,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.82,0,10,-58.7,0.0005243769,-2.966497E-05,-0.0009319235,14.03901,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.84,0,10,-58.7,0.0005242638,-0.0001217712,-0.0003427385,14.0447,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.86,0,10,-58.7,0.0005242638,-0.0001217712,-0.0003427385,14.0447,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.88,0,10,-58.7,-0.0007891839,0.0001645994,0.0004590008,14.04317,45,0,1.1,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.9,0,10,-58.7,0.0001565711,-9.60492E-05,0.0001097836,11.23055,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.92,0,10,-58.7,0.0001565711,-9.60492E-05,0.0001097836,11.23055,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.94,0,10,-58.7,0.001328045,-0.0001188201,-0.0002250018,11.23415,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.96,0,10,-58.7,0.00142043,-5.283527E-05,-0.0001852385,11.23415,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
46.98,0,10,-58.7,0.0001711512,-5.590003E-05,-0.0006079699,11.22902,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47,0,10,-58.7,1.14432E-05,-7.658095E-05,-0.000603298,11.22902,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.02,0,10,-58.7,-0.000344581,-0.0001621898,-0.0005159891,11.22477,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.04,0,10,-58.7,-0.000344581,-0.0001621898,-0.0005159891,11.23383,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.06,0,10,-58.7,-0.0003193373,-0.0001701034,0.000840885,11.22758,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.08,0,10,-58.7,0.0008827674,-0.0003890952,-0.0002791342,11.22925,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.1,0,10,-58.7,0.0009995073,-0.0002391907,6.719108E-05,11.22925,45,0,1.2,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.12,0,10,-58.7,-0.0001991193,0.0005171263,-0.0002181608,8.407906,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.14,0,10,-58.7,-0.0001991193,0.0005171263,-0.0002181608,8.407906,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.16,0,10,-58.7,0.0003118427,-0.0002875566,-0.0001262313,8.426037,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.18,0,10,-58.7,0.0003602809,-5.051819E-05,-0.00068614,8.420246,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.2,0,10,-58.7,0.0003602809,-5.051819E-05,-0.00068614,8.420246,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.22,0,10,-58.7,0.0004678739,-0.0001755945,-0.0008238041,8.421661,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.24,0,10,-58.7,-0.0005928305,-0.0002305131,-0.0004531129,8.411053,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.26,0,10,-58.7,-0.0005928305,-0.0002305131,-0.0004531129,8.411053,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.28,0,10,-58.7,-0.001037293,0.0002582716,0.0006772643,8.412945,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.3,0,10,-58.7,0.000452001,-0.0001152568,-0.0001573469,8.408085,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.32,0,10,-58.7,0.0004358301,-0.0002271007,-0.0001109551,8.408085,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.34,0,10,-58.7,-0.0007294478,0.0009177219,-6.68969E-06,8.416801,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.36,0,10,-58.7,-0.0007294478,0.0009177219,-6.68969E-06,8.416801,45,0,1.3,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.38,0,10,-58.7,-0.0002533301,-0.0003158479,-9.484246E-05,5.591084,45,0,1.4,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.4,0,10,-58.7,0.0002185389,-0.0009793758,-0.0002823309,5.60387,45,0,1.4,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.42,0,10,-58.7,0.0002185389,-0.0009793758,-0.0002823309,5.60387,45,0,1.4,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.44,0,10,-58.7,0.0003397157,-0.00096195,0.0001097996,5.600647,45,0,1.4,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.46,0,10,-58.7,0.0003397157,-0.00096195,0.0001097996,5.600647,45,0,1.4,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
47.48,0,10,-58.7,-0.000135229,-0.0003219036,-0.0008112652,5.592709,45,0,1.4,0,0,0,(-13.6, -5.0, 8.3),(18.3, -7.5, 8.1)
