theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
12.14,0,10,-58.7,-0.0004216747,-0.0006052008,0.0009703576,1.547379,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.16,0,10,-58.7,-0.0004216747,-0.0006052008,0.0009703576,1.542598,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.18,0,10,-58.7,-0.0003052325,-0.0004680865,0.0007672959,1.542598,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.2,0,10,-58.7,-0.001590937,0.003772584,0.0005338433,1.543042,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.22,0,10,-58.7,-0.001590937,0.003772584,0.0005338433,1.543042,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.24,0,10,-58.7,0.00199853,0.001279169,-0.0008138133,1.546293,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.26,0,10,-58.7,0.00199853,0.001279169,-0.0008138133,1.542878,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.28,0,10,-58.7,0.002254966,0.00123584,-0.001934873,1.544415,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.3,0,10,-58.7,-4.503952E-05,0.002669904,-0.001720218,1.551416,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.32,0,10,-58.7,1.964025E-05,0.002503748,-0.001811195,1.551416,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.34,0,10,-58.7,0.0005817426,-0.001190446,0.000404529,1.540481,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.36,0,10,-58.7,0.0007413027,-0.001141131,0.0003077647,1.540481,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.38,0,10,-58.7,0.0007413027,-0.001141131,0.0003077647,1.542195,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.4,0,10,-58.7,-0.0001087126,-0.0003468604,0.0009920888,1.545241,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.42,0,10,-58.7,-0.0001087126,-0.0003468604,0.0009920888,1.547256,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.44,0,10,-58.7,-0.0003948417,-0.0001592592,0.001073011,1.547256,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.46,0,10,-58.7,-0.001346526,-0.003448923,0.00201043,1.542011,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.48,0,10,-58.7,-0.0007534755,-0.000785646,0.0008897539,1.543179,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.5,0,10,-58.7,-0.0007191402,-0.0007243892,0.0008250984,1.548288,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.52,0,10,-58.7,-0.001310424,0.002052313,-0.0006202817,1.538008,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.54,0,10,-58.7,-0.001310424,0.002052313,-0.0006202817,1.541676,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
12.56,0,10,-58.7,0.003621084,0.005554909,-0.001867623,1.538486,0,0,1,0,0,2,(21.7, -5.0, 7.3),(0.0, 0.0, 0.0)
