theTime,x,y,z,xvel,yvel,zvel,playerRotation,flipangle,grav_gain0,PSFactor,score,caughtToFloor,missedToFloor,ballTouchdownX,ballTouchdownY,ballTouchdownZ,goalPosX,goalPosY,goalPosZ
16.82,0,10,-58.7,-0.0006586611,-0.002190226,0.0008030981,70.33507,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.84,0,10,-58.7,-0.0009361265,-0.00232135,0.0009491235,70.33472,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.86,0,10,-58.7,-0.001520458,-0.002378238,0.001069276,70.33501,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.88,0,10,-58.7,-0.001337289,-0.002383166,0.001247368,70.33733,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.9,0,10,-58.7,-0.000628931,-0.001016523,0.001416935,70.32871,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.92,0,10,-58.7,-0.0005113522,-0.0007254792,0.00122032,70.32606,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.94,0,10,-58.7,0.001094721,0.0009162816,-0.001485243,70.32162,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.96,0,10,-58.7,0.0008629677,0.001125579,-0.001429241,70.34247,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
16.98,0,10,-58.7,-0.0001071426,-1.748562E-05,0.0007652254,70.33058,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
17,0,10,-58.7,-0.000284027,4.788159E-05,0.001017116,70.32178,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
17.02,0,10,-58.7,-0.0002752524,0.0001274401,0.001083093,70.32178,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
17.04,0,10,-58.7,-0.0009785942,-0.0008254357,0.001204616,70.32762,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
17.06,0,10,-58.7,-0.0009297602,-0.0006447674,0.001162525,70.32753,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
17.08,0,10,-58.7,-0.0004176873,0.0003226563,-0.0007301326,70.32868,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
17.1,0,10,-58.7,-0.0001970937,0.0003620773,-0.0006899311,70.32315,90,0,1.5,0,0,0,(0.0, 0.0, 0.0),(-5.0, -7.5, 19.4)
