theTime,x,y,z,q1,q2,q3,score,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0,0,0,0,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0,-16.77814,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.02,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.04,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.06,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.08,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.09999999,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.12,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.14,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.16,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.18,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.2,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.22,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.24,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.26,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.28,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.3,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.32,-16.83893,0,-20,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.34,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.36,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.38,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.4,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.42,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.44,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.46,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.48,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.5,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.52,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.54,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.56,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.58,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.6,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.62,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.64,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
0.66,-50,0,60,0,0,0,0,(0.0, 0.0, 0.0),(0.0, 0.0, 0.0)
