theTime,x,y,z,q1,q2,q3,score,(0.0,0, 0.0),(0.0,0, 0.0)
4.34,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.36,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.38,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.4,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.42,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.44,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.46,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.48,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.5,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.52,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.54,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.56,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.58,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.6,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.62,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.64,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.66,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.68,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.7,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.72,50,0,60,0,0,0,0,(0.0,0, 0.0),(0.0,0, 0.0)
4.74,50,0,60,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
4.76,50,0,60,0,0,0,0,(15.2,-7, -3.3),(0.0,0, 0.0)
